Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Origin,Associated Types,River Basin,Start Date,End Date,Duration
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,Sukabumi regency (West Java province),Heavy rains,"Slide (land, mud, snow, rock)",,2024-12-03,2024-12-10,7
Flood,Flood (General),KEN,Kenya,Sub-Saharan Africa,Africa,,Heavy rains,,"Nzoia, Nyando, Yala, Miriu and Awach rivers",2024-12-01,2024-12-05,4
Flood,Flood (General),HTI,Haiti,Latin America and the Caribbean,Americas,Grand-Anse department and the South department,Heavy rains,"Slide (land, mud, snow, rock)",,2024-11-30,2024-12-04,4
Flood,Flood (General),MWI,Malawi,Sub-Saharan Africa,Africa,,Heavy rains,Lightening|Storm,,2024-11-27,2024-12-06,9
Flood,Flood (General),GAB,Gabon,Sub-Saharan Africa,Africa,"Mouila (Ngounié Province), Port-Gentil (Ogooué-Maritime Province), Tchibanga (Nyanga Province) and Grand Libreville (Estuaire Province)",Heavy rains,,,2024-11-25,2024-11-27,2
Flood,Flood (General),THA,Thailand,South-eastern Asia,Asia,"Chumphon, Phatthalung, Ranong, Satun, Surat Thani, Nakhon Si Thammarat, Songkhla, Pattani, Narathiwat, and Yala provinces",Heavy rains,,,2024-11-25,2024-12-15,20
Flood,Flood (General),TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Tarime district (Mara region),Heavy rains,,,2024-11-25,2024-11-27,2
Flood,Flash flood,IDN,Indonesia,South-eastern Asia,Asia,"Karo, South Tapanuli, Padang Lawas and Deli Serdang districts (North Sumatra province)",Heavy rains,"Slide (land, mud, snow, rock)",,2024-11-23,2024-11-26,3
Flood,Flood (General),BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,La Paz capital city area,Heavy rains,"Slide (land, mud, snow, rock)",Pasajahuira river,2024-11-23,2024-11-24,1
Flood,Flood (General),ESP,Spain,Southern Europe,Europe,"Álora, Cártama, Alhaurín de la Torre, Pizarra municipalities and Malaga city (Malaga); Catalonia province",Heavy rains,,Campanillas and Guadalhorce rivers,2024-11-13,2024-11-14,1
Flood,Flood (General),CRI,Costa Rica,Latin America and the Caribbean,Americas,"Guanacaste, Puntarenas",Heavy rains,,,2024-11-12,2024-11-26,14
